category_id,ranking_id
1,2
1,3
1,4
1,5
1,6
1,7
2,2
2,3
2,4
2,5
2,6
2,7
3,2
3,3
3,4
3,5
3,6
3,7
4,2
4,3
4,4
4,5
4,6
4,7
5,2
5,3
5,4
5,5
5,6
5,7
6,2
6,3
6,4
6,5
6,6
6,7
7,6
7,7
7,8
7,9
7,10
7,11
8,10
8,11
8,12
8,13
8,14
8,15
9,14
9,15
9,16
9,17
9,18
9,19
10,18
10,19
10,20
10,21
10,22
10,23
11,22
11,23
11,24
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
14,6
14,7
14,8
14,9
14,10
14,11
15,10
15,11
15,12
15,13
15,14
15,15
16,14
16,15
16,16
16,17
16,18
16,19
17,18
17,19
17,20
17,21
17,22
17,23
18,22
18,23
18,24
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
20,6
20,7
20,8
20,9
20,10
20,11
21,10
21,11
21,12
21,13
21,14
21,15
22,14
22,15
22,16
22,17
22,18
22,19
23,18
23,19
23,20
23,21
23,22
23,23
24,2
24,3
24,4
24,5
24,6
24,7
24,8
24,9
24,22
24,23
24,24
25,6
25,7
25,8
25,9
25,10
25,11
26,10
26,11
26,12
26,13
26,14
26,15
27,14
27,15
27,16
27,17
27,18
27,19
28,2
28,3
28,4
28,5
28,6
28,7
28,8
28,9
29,6
29,7
29,8
29,9
29,10
29,11
30,2
30,3
30,4
30,5
30,6
30,7
30,8
30,9
31,6
31,7
31,8
31,9
31,10
31,11
58,2
58,3
58,4
58,5
58,6
58,7
58,8
59,2
59,3
59,4
59,5
59,6
59,7
59,8
60,2
60,3
60,4
60,5
60,6
60,7
60,8
61,2
61,3
61,4
61,5
61,6
61,7
61,8
62,2
62,3
62,4
62,5
62,6
62,7
62,8
63,2
63,3
63,4
63,5
63,6
63,7
63,8
64,7
64,8
64,9
64,10
64,11
64,12
64,13
65,12
65,13
65,14
65,15
65,16
65,17
65,18
65,19
66,18
66,19
66,20
66,21
66,22
66,23
67,22
67,23
67,24
68,7
68,8
68,9
68,10
68,11
68,12
68,13
69,12
69,13
69,14
69,15
69,16
69,17
69,18
69,19
70,18
70,19
70,20
70,21
70,22
70,23
71,22
71,23
71,24
72,12
72,13
72,14
72,15
72,16
72,17
72,18
72,19
73,18
73,19
73,20
73,21
73,22
73,23
74,22
74,23
74,24
75,18
75,19
75,20
75,21
75,22
75,23
76,22
76,23
76,24
