category_id,round_id,points
1,1,2405
1,2,2004
1,3,1670
1,4,1392
1,5,1160
1,6,967
1,7,806
1,8,672
1,9,560
1,10,560
1,11,0
2,1,2405
2,2,2004
2,3,1670
2,4,1392
2,5,1160
2,6,967
2,7,806
2,8,672
2,9,560
2,10,560
2,11,0
3,1,2405
3,2,2004
3,3,1670
3,4,1392
3,5,1160
3,6,967
3,7,806
3,8,672
3,9,560
3,10,560
3,11,0
4,1,2405
4,2,2004
4,3,1670
4,4,1392
4,5,1160
4,6,967
4,7,806
4,8,672
4,9,560
4,10,560
4,11,0
5,1,2405
5,2,2004
5,3,1670
5,4,1392
5,5,1160
5,6,967
5,7,806
5,8,672
5,9,560
5,10,560
5,11,0
6,1,2405
6,2,2004
6,3,1670
6,4,1392
6,5,1160
6,6,967
6,7,806
6,8,672
6,9,560
6,10,560
6,11,0
7,1,2405
7,2,2004
7,3,1670
7,4,1392
7,5,1160
7,6,967
7,7,806
7,8,672
7,9,560
7,10,560
7,11,0
8,1,2405
8,2,2004
8,3,1670
8,4,1392
8,5,1160
8,6,967
8,7,806
8,8,672
8,9,560
8,10,560
8,11,0
9,1,2405
9,2,2004
9,3,1670
9,4,1392
9,5,1160
9,6,967
9,7,806
9,8,672
9,9,560
9,10,560
9,11,0
10,1,2405
10,2,2004
10,3,1670
10,4,1392
10,5,1160
10,6,967
10,7,806
10,8,672
10,9,560
10,10,560
10,11,0
11,1,2405
11,2,2004
11,3,1670
11,4,1392
11,5,1160
11,6,967
11,7,806
11,8,672
11,9,560
11,10,560
11,11,0
12,1,2405
12,2,2004
12,3,1670
12,4,1392
12,5,1160
12,6,967
12,7,806
12,8,672
12,9,560
12,10,560
12,11,0
13,1,2405
13,2,2004
13,3,1670
13,4,1392
13,5,1160
13,6,967
13,7,806
13,8,672
13,9,560
13,10,560
13,11,0
14,1,2405
14,2,2004
14,3,1670
14,4,1392
14,5,1160
14,6,967
14,7,806
14,8,672
14,9,560
14,10,560
14,11,0
15,1,2405
15,2,2004
15,3,1670
15,4,1392
15,5,1160
