code,name,address,city,website,email,phone_number
4026,Welkenraedt,"Rue Belle Vue, 1",Welkenraedt,www.tcwelkenraedt.be,tennis.welk@gmail.com,87881937
1024,3 fontaines,"Chaussée de Wavre, 2057",Bruxelles,www.tc3fontaines.be,tc3fontaines@gmail.com,472466376
1021,3 tilleuls,"Avenue de l'Arbalète, 22",Bruxelles,www.csk-wb.be,christine.callens@bnpparibasfortis.com,475216666
4044,Abbaye,"Rue de l'Abbaye, 26 B",Helecine,,sauvenieramandine@msn.com,
3100,Acacias,Rue des Acacias (derrière le 43),Montignyletilleul,,tcacacias@gmail.com,
4118,Amay,"Clos du Tennis, 5",Amay,,fatojan@hotmail.com,498773585
6008,Amee,"Avenue Parc d'Amée, 90",Jambes namur,www.tennisclubameejambes.be,tennisclubamee@gmail.com,472933367
1018,Animer wezembeek,Av Astrid 85,Wezembeekoppem,www.animer.be,dominiquematthys@animer.Be,27319537
4130,Ans,"Rue d'Erquy, 31",Oupeye,,raphliziero@gmail.com,473314506
4089,Anthisnes,"Tiyou d'Hestreu, 4",Tavier,www.tcanthisnes.be,a.tricnont@gmail.com,477394257
1006,Argayon,"Vieux Chemin de Seneffe, 21",Nivelles,www.argayon.com,argayon@argayon.com,475413275
6006,Arlon,"Rue des Mélèzes, 21",Arlon,www.rtcarlon.be,club@rtcarlon.be,63217611
4116,Asa tennis,Rue Victor Heine 9/1,Antheit,,dominique.respen@gmail.com,
3004,Astridcharleroi,"Allée des Lacs, 20",Loverval,,philippe.deraeve1@gmail.com,495576456
3005,Ath,"Route de Flobecq, 18",Ath,,jean.dauge@yahoo.fr,
6021,Athus,"Rue des Métallurgistes, 6",Athus,,tennisathus@hotmail.fr,497922166
1016,Atlantique,"Centre sportif de l'OTAN, rue Arthur Maes",Bruxelles,,patrick1.labrosse@gmail.com,27074604
4036,Aubel,"Rue de la Kan, 8 A",Aubel,www.aubeltc.be,aubeltc@aubel.be,496557558
4046,Avantage geer,"Rue de Boëlhe, 33 (Complexe Sportif)",Geer,www.tcavantagegeer.be,info@tcavantagegeer.be,475385952
4001,Aywaille,"Rue de la Heid, 50",Aywaille,www.rtca.be,tennis.aywaille@gmail.com,43844266
1402,B.n.b.,Boulevard de Berlaimont 14,Bruxelles,,martine.berckmans@nbb.be;club@nbb.be;,22212500
6053,Barvaux,Parc du Juliénas 4,Barvauxsurourthe,www.barvauxtc.be,tcbarvaux@gmail.com,86214515
6004,Bastogne,Domaine de Renval,Bastogne,www.rtcbastogne.be,info@rtcbastogne.be,61217151
1005,Baudouin (brabant),"Kalenbergstraat, 85",Dilbeek,www.baudouin.be,info@baudouin.be,25671911
