division_id,ranking_id,points
1,1,1722
1,2,1476
1,3,1303
1,4,1152
1,5,1020
1,6,903
1,7,800
1,8,709
1,9,628
1,10,556
1,11,492
1,12,435
1,13,389
1,14,347
1,15,307
1,16,271
1,17,237
1,18,205
1,19,168
1,20,135
1,21,105
1,22,78
1,23,62
1,24,53
2,1,1606
2,2,1397
2,3,1235
2,4,1093
2,5,969
2,6,859
2,7,762
2,8,676
2,9,600
2,10,532
2,11,471
2,12,419
2,13,375
2,14,334
2,15,297
2,16,261
2,17,228
2,18,194
2,19,159
2,20,128
2,21,99
2,22,72
2,23,57
2,24,49
3,1,1491
3,2,1318
3,3,1167
3,4,1035
3,5,918
3,6,815
3,7,724
3,8,643
3,9,571
3,10,507
3,11,450
3,12,404
3,13,362
3,14,322
3,15,286
3,16,252
3,17,220
3,18,183
3,19,150
3,20,121
3,21,93
3,22,68
3,23,53
3,24,45
4,1,1333
4,2,1182
4,3,1050
4,4,933
4,5,830
4,6,739
4,7,658
4,8,586
4,9,522
4,10,465
4,11,419
4,12,377
4,13,337
4,14,301
4,15,267
4,16,235
4,17,198
4,18,165
4,19,136
4,20,108
4,21,83
4,22,59
4,23,45
4,24,39
5,1,3217
5,2,2720
5,3,2304
5,4,1955
5,5,1662
5,6,1415
5,7,1207
5,8,1031
5,9,882
5,10,755
5,11,647
5,12,555
5,13,474
5,14,405
5,15,345
5,16,292
5,17,246
5,18,205
5,19,168
5,20,135
5,21,105
5,22,78
5,23,62
5,24,53
6,1,2735
6,2,2319
6,3,1970
6,4,1677
6,5,1430
6,6,1222
6,7,1046
6,8,897
6,9,770
6,10,662
6,11,570
6,12,489
6,13,420
6,14,360
6,15,307
6,16,261
6,17,220
6,18,183
6,19,150
6,20,120
6,21,93
6,22,68
6,23,53
6,24,45
7,1,2334
7,2,1985
7,3,1692
7,4,1445
7,5,1237
7,6,1061
7,7,912
7,8,785
7,9,677
7,10,585
7,11,504
7,12,435
7,13,375
7,14,322
7,15,276
7,16,235
7,17,198
7,18,165
7,19,135
7,20,108
7,21,83
7,22,59
7,23,45
7,24,39
8,1,2000
8,2,1707
8,3,1460
8,4,1252
8,5,1076
8,6,927
8,7,800
8,8,692
8,9,600
8,10,519
8,11,450
8,12,390
8,13,337
8,14,291
8,15,250
8,16,213
8,17,180
8,18,150
8,19,123
8,20,98
8,21,74
8,22,51
8,23,39
8,24,34
