tournament_id,date,status,round
21,18/08/2020,completed,1_2
46,2/7/2020,completed,1_4
64,23/08/2020,completed,1_4
92,23/08/2020,completed,final
92,21/08/2020,completed,1_2
92,18/08/2020,completed,1_4
91,14/08/2020,completed,1_8
100,20/07/2020,completed,1_4
118,11/7/2020,completed,1_2
118,9/7/2020,completed,1_4
132,5/7/2020,completed,final
132,4/7/2020,completed,1_2
132,2/7/2020,completed,1_4
152,5/1/2020,completed,1_2
152,4/1/2020,completed,1_4
167,29/10/2019,completed,1_2
187,6/8/2020,completed,1_16
97,19/07/2020,completed,1_16
192,30/11/2019,completed,1_2
68,20/08/2020,completed,1_8
218,14/08/2020,completed,1_8
250,2/9/2020,completed,1_4
250,30/08/2020,completed,1_8
259,20/08/2020,completed,1_8
92,15/08/2020,completed,1_8
92,13/08/2020,completed,1_16
90,18/08/2020,completed,1_8
90,17/08/2020,completed,1_16
90,15/08/2020,completed,1_32
291,9/3/2020,completed,1_16
306,23/02/2020,retirement,1_8
352,20/02/2020,completed,1_8
353,20/02/2020,completed,1_4
353,18/02/2020,completed,1_8
352,17/02/2020,completed,1_16
353,16/02/2020,completed,1_16
370,2/2/2020,completed,1_2
370,30/01/2020,completed,1_4
383,26/01/2020,completed,1_16
400,14/01/2020,completed,1_16
416,6/1/2020,completed,1_8
417,5/1/2020,completed,1_8
306,,WO,1_4
445,,WO,1_16
290,,WO,1_16
148,1/1/2020,completed,1_16
486,7/8/2020,completed,1_2
553,28/06/2020,completed,1_16
68,29/08/2020,completed,1_2
68,26/08/2020,completed,1_4
68,21/08/2020,completed,1_8
218,14/08/2020,completed,1_8
90,16/08/2020,completed,1_32
215,14/08/2020,completed,1_32
590,30/07/2020,completed,1_32
615,,WO,1_16
654,18/08/2020,completed,1_8
654,15/08/2020,completed,1_16
187,8/8/2020,completed,1_16
676,12/1/2020,completed,1_16
195,3/12/2019,completed,1_4
195,1/12/2019,completed,1_8
676,14/01/2020,completed,1_8
702,14/09/2020,completed,1_8
631,5/9/2020,completed,1_2
70,26/08/2020,completed,1_4
705,8/8/2020,completed,1_8
514,7/8/2020,completed,final
740,26/07/2020,completed,1_2
752,17/07/2020,completed,1_2
752,12/7/2020,completed,1_4
779,25/01/2020,completed,1_4
684,14/01/2020,completed,1_4
204,1/12/2019,completed,1_8
711,10/8/2020,completed,1_4
603,5/8/2020,completed,1_8
791,27/07/2020,completed,1_8
791,26/07/2020,completed,1_16
148,4/1/2020,completed,1_2
148,2/1/2020,completed,1_4
148,31/12/2019,completed,1_8
799,21/12/2019,completed,1_16
148,,WO,1_16
330,26/02/2020,completed,1_2
330,25/02/2020,completed,1_4
330,24/02/2020,completed,poule
330,24/02/2020,completed,poule
330,24/02/2020,completed,poule
834,17/09/2020,completed,poule
834,17/09/2020,completed,poule
850,5/9/2020,completed,poule
850,5/9/2020,completed,poule
850,5/9/2020,WO,poule
230,20/08/2020,completed,poule
230,20/08/2020,completed,poule
855,17/07/2020,completed,1_8
842,13/09/2020,WO,poule
842,13/09/2020,WO,poule
853,5/9/2020,completed,poule
853,5/9/2020,completed,poule
238,17/08/2020,completed,poule
238,17/08/2020,completed,poule
238,17/08/2020,completed,poule
59,22/08/2020,completed,1_16
624,10/9/2020,completed,1_2
624,7/9/2020,completed,1_4
60,22/08/2020,completed,1_16
709,12/8/2020,completed,final
593,2/8/2020,completed,1_16
725,30/07/2020,completed,1_2
884,22/07/2020,completed,1_8
904,7/7/2020,completed,1_4
135,1/7/2020,completed,1_4
777,2/2/2020,completed,final
777,1/2/2020,completed,1_2
777,31/01/2020,completed,1_4
682,19/01/2020,completed,final
682,18/01/2020,completed,1_2
682,14/01/2020,completed,1_4
682,13/01/2020,completed,1_8
725,,WO,1_4
853,6/9/2020,completed,1_4
853,6/9/2020,completed,1_8
853,5/9/2020,completed,poule
853,5/9/2020,completed,poule
238,19/08/2020,completed,final
238,19/08/2020,completed,1_2
238,18/08/2020,completed,1_4
238,17/08/2020,completed,poule
238,17/08/2020,completed,poule
238,17/08/2020,completed,poule
538,8/8/2020,completed,1_2
538,6/8/2020,completed,poule
538,6/8/2020,completed,poule
224,19/08/2020,completed,1_8
224,18/08/2020,completed,1_16
174,31/10/2019,completed,1_2
174,29/10/2019,completed,1_4
492,8/8/2020,completed,final
492,4/8/2020,completed,1_2
135,28/06/2020,completed,1_8
135,27/06/2020,completed,1_16
682,11/1/2020,completed,1_8
200,4/12/2019,completed,1_4
200,1/12/2019,completed,1_8
90,14/08/2020,completed,1_32
916,4/7/2020,completed,1_8
916,2/7/2020,completed,1_16
676,11/1/2020,completed,1_8
922,24/11/2019,completed,1_8
922,23/11/2019,completed,1_16
164,28/10/2019,completed,1_4
164,26/10/2019,completed,1_8
483,31/07/2020,completed,1_16
950,2/9/2020,completed,1_8
950,29/08/2020,completed,1_16
68,26/08/2020,completed,1_4
68,22/08/2020,completed,1_8
187,11/8/2020,completed,1_8
187,6/8/2020,completed,1_16
136,30/06/2020,completed,1_4
136,28/06/2020,completed,1_8
136,,WO,1_16
222,21/08/2020,completed,1_2
222,20/08/2020,completed,poule
222,20/08/2020,completed,poule
222,20/08/2020,completed,poule
963,13/07/2020,completed,1_16
222,20/08/2020,completed,poule
222,20/08/2020,completed,poule
221,16/08/2020,completed,1_16
989,16/07/2020,completed,poule
989,16/07/2020,completed,poule
989,16/07/2020,completed,poule
989,16/07/2020,completed,poule
36,1/7/2020,completed,poule
36,1/7/2020,completed,poule
36,1/7/2020,completed,poule
36,1/7/2020,completed,poule
35,30/06/2020,completed,1_16
1007,15/02/2020,completed,poule
1007,15/02/2020,completed,poule
1007,15/02/2020,completed,poule
1007,15/02/2020,completed,poule
1022,18/01/2020,completed,1_16
1054,27/12/2019,completed,1_4
1054,26/12/2019,completed,poule
1054,26/12/2019,completed,poule
1054,26/12/2019,completed,poule
1053,22/12/2019,completed,1_16
601,,WO,1_16
93,18/08/2020,completed,1_8
93,16/08/2020,completed,1_16
188,14/08/2020,completed,1_4
188,9/8/2020,completed,1_8
64,25/08/2020,completed,1_4
92,13/08/2020,completed,1_16
1076,25/06/2020,completed,1_2
1083,1/3/2020,completed,final
1083,29/02/2020,completed,1_2
1083,28/02/2020,completed,1_4
1019,26/01/2020,completed,final
1019,23/01/2020,completed,1_2
193,5/12/2019,completed,1_4
199,3/12/2019,completed,1_4
98,21/07/2020,completed,1_16
98,17/07/2020,completed,1_32
592,5/8/2020,completed,1_4
87,17/08/2020,completed,1_8
87,14/08/2020,completed,1_16
1099,10/8/2020,completed,1_16
1132,9/8/2020,completed,1_16
1132,7/8/2020,completed,1_32
480,6/8/2020,completed,1_4
480,31/07/2020,completed,1_8
782,29/07/2020,completed,1_2
782,27/07/2020,completed,1_4
782,24/07/2020,completed,1_8
58,,WO,1_8
90,18/08/2020,completed,1_8
90,16/08/2020,completed,1_16
187,15/08/2020,completed,1_2
187,14/08/2020,completed,1_4
187,9/8/2020,completed,1_8
130,1/7/2020,completed,1_8
130,27/06/2020,completed,1_16
676,19/01/2020,completed,1_2
676,17/01/2020,completed,1_4
676,15/01/2020,completed,1_8
675,12/1/2020,completed,1_16
195,7/12/2019,completed,1_2
194,3/12/2019,completed,1_4
195,30/11/2019,completed,1_4
164,2/11/2019,completed,1_2
164,26/10/2019,completed,1_8
163,26/10/2019,completed,1_16
163,25/10/2019,completed,1_32
187,8/8/2020,completed,1_16
776,1/2/2020,completed,1_2
776,31/01/2020,completed,1_4
776,28/01/2020,completed,1_8
776,26/01/2020,completed,1_16
1144,13/09/2020,completed,final
1144,12/9/2020,completed,1_2
1144,10/9/2020,completed,1_4
1143,4/9/2020,completed,1_16
1156,25/08/2020,completed,1_4
1156,24/08/2020,completed,1_8
851,6/9/2020,completed,final
68,22/08/2020,completed,1_8
187,14/08/2020,completed,1_4
187,9/8/2020,completed,1_8
136,2/7/2020,completed,1_4
136,29/06/2020,completed,1_8
136,26/06/2020,completed,1_16
145,5/1/2020,completed,final
145,2/1/2020,completed,1_2
145,30/12/2019,completed,1_4
201,30/11/2019,completed,1_4
187,,WO,1_16
1197,23/02/2020,completed,1_16
1221,17/02/2020,completed,1_32
767,27/01/2020,completed,1_32
767,26/01/2020,completed,1_64
369,25/01/2020,completed,1_16
399,11/1/2020,completed,1_32
1243,28/12/2019,completed,1_64
1044,22/12/2019,completed,1_32
1260,,WO,1_32
232,21/08/2020,completed,final
232,21/08/2020,completed,1_2
232,20/08/2020,completed,1_4
1120,16/08/2020,completed,final
1120,14/08/2020,completed,1_2
1120,9/8/2020,completed,1_4
608,5/8/2020,completed,1_4
532,3/8/2020,completed,1_4
795,30/07/2020,completed,1_2
46,2/7/2020,completed,1_4
45,2/7/2020,completed,1_4
468,27/02/2020,completed,1_4
608,,WO,1_8
1181,30/08/2020,completed,final
1181,27/08/2020,completed,1_2
228,21/08/2020,completed,1_2
229,19/08/2020,completed,1_2
228,18/08/2020,completed,1_4
229,16/08/2020,completed,1_4
1118,16/08/2020,completed,final
1118,14/08/2020,completed,1_2
606,6/8/2020,completed,1_2
606,4/8/2020,completed,1_4
793,31/07/2020,completed,final
792,30/07/2020,completed,1_2
793,29/07/2020,completed,1_2
792,28/07/2020,completed,1_4
466,27/02/2020,completed,1_2
466,25/02/2020,completed,1_4
186,9/8/2020,completed,1_16
135,26/06/2020,completed,1_16
1288,1/9/2020,completed,1_8
1288,29/08/2020,completed,1_16
1307,27/08/2020,completed,1_4
71,26/08/2020,completed,1_4
1307,25/08/2020,completed,1_8
1323,22/08/2020,completed,1_2
93,22/08/2020,completed,1_2
1323,21/08/2020,completed,1_4
93,20/08/2020,completed,1_4
93,18/08/2020,completed,1_8
1323,17/08/2020,completed,1_8
93,15/08/2020,completed,1_16
511,8/8/2020,completed,final
511,5/8/2020,completed,1_2
787,30/07/2020,completed,1_2
736,29/07/2020,completed,1_4
736,28/07/2020,completed,1_8
787,26/07/2020,completed,1_4
751,17/07/2020,completed,1_2
753,15/07/2020,completed,1_4
751,14/07/2020,completed,1_4
751,12/7/2020,completed,1_8
753,11/7/2020,completed,1_8
119,5/7/2020,completed,1_8
1089,25/02/2020,completed,1_4
1089,22/02/2020,completed,1_8
404,15/01/2020,completed,1_2
680,14/01/2020,completed,1_2
404,13/01/2020,completed,1_4
680,12/1/2020,completed,1_4
1337,10/1/2020,completed,1_2
143,5/1/2020,completed,final
1337,3/1/2020,completed,1_4
1051,28/12/2019,completed,1_2
1263,,WO,1_4
1269,,WO,1_4
77,23/08/2020,completed,1_2
187,12/8/2020,completed,1_8
590,2/8/2020,completed,1_16
