game_id,set_number,games_1,games_2
1,1,2,6
1,2,2,6
2,1,3,6
2,2,5,7
3,1,6,4
3,2,5,7
3,3,1,6
4,1,0,6
4,2,2,6
5,1,7,5
5,2,6,2
6,1,6,3
6,2,6,1
7,1,3,6
7,2,4,6
8,1,2,6
8,2,0,6
9,1,1,6
9,2,0,6
10,1,6,4
10,2,6,1
11,1,4,6
11,2,6,2
11,3,6,4
12,1,7,5
12,2,6,4
13,1,6,0
13,2,6,2
14,1,6,4
14,2,0,6
14,3,2,6
15,1,6,3
15,2,6,7
15,3,6,2
16,1,4,6
16,2,1,6
17,1,2,6
17,2,2,6
18,1,4,6
18,2,3,6
19,1,3,6
19,2,0,6
20,1,1,6
20,2,2,6
21,1,4,6
21,2,5,7
22,1,4,6
22,2,2,6
23,1,6,3
23,2,6,3
24,1,6,2
24,2,4,6
24,3,6,7
25,1,1,6
25,2,6,3
25,3,6,4
26,1,6,3
26,2,6,0
27,1,2,6
27,2,0,6
28,1,6,2
28,2,6,0
29,1,6,4
29,2,6,3
30,1,2,6
30,2,0,6
31,1,7,5
31,2,4,0
32,1,1,6
32,2,4,6
33,1,2,6
33,2,5,7
34,1,7,6
34,2,6,0
35,1,6,4
35,2,6,1
36,1,2,6
36,2,6,4
36,3,6,0
37,1,1,6
37,2,6,7
38,1,6,3
38,2,6,4
39,1,2,6
39,2,1,6
40,1,2,6
40,2,2,6
41,1,0,6
41,2,2,6
42,1,6,7
42,2,2,6
46,1,4,6
46,2,2,6
47,1,0,6
47,2,0,6
48,1,7,6
48,2,4,6
48,3,4,6
49,1,2,6
49,2,6,1
49,3,2,6
50,1,6,1
50,2,6,1
51,1,1,6
51,2,6,4
51,3,6,3
52,1,1,6
52,2,3,6
53,1,7,5
53,2,2,6
53,3,3,6
54,1,1,6
54,2,1,6
55,1,3,6
55,2,3,6
57,1,3,6
57,2,0,6
58,1,7,5
58,2,4,6
58,3,6,1
59,1,0,6
59,2,4,6
60,1,4,6
60,2,2,6
61,1,4,6
61,2,5,7
62,1,6,3
62,2,6,1
63,1,3,6
63,2,2,6
64,1,0,6
64,2,2,6
65,1,1,6
65,2,0,6
66,1,6,7
66,2,6,3
66,3,4,6
67,1,2,6
67,2,2,6
68,1,2,6
68,2,0,6
69,1,6,3
69,2,3,6
69,3,2,6
70,1,6,3
70,2,6,7
70,3,1,6
71,1,6,1
71,2,6,1
72,1,1,6
72,2,5,7
73,1,1,6
73,2,0,6
74,1,1,6
74,2,0,6
75,1,2,6
75,2,2,6
76,1,3,6
76,2,5,7
77,1,2,6
77,2,2,6
78,1,6,7
78,2,6,4
78,3,6,4
79,1,0,6
79,2,0,6
80,1,7,6
80,2,6,4
81,1,0,6
81,2,7,5
81,3,6,4
82,1,0,6
82,2,0,6
84,1,4,6
84,2,3,6
85,1,6,3
85,2,6,1
86,1,6,2
87,1,1,6
88,1,7,6
89,1,0,4
90,1,0,4
91,1,0,4
92,1,1,4
94,1,4,0
95,1,3,4
96,1,2,6
96,2,0,6
99,1,2,4
100,1,1,4
101,1,0,4
102,1,1,4
103,1,2,4
104,1,4,6
104,2,2,6
105,1,2,6
105,2,2,6
106,1,6,0
106,2,6,1
107,1,5,7
107,2,2,6
108,1,6,1
108,2,6,2
109,1,1,6
109,2,1,6
110,1,2,6
110,2,1,4
111,1,1,6
111,2,6,4
111,3,5,7
112,1,2,6
112,2,6,7
113,1,4,6
113,2,2,6
114,1,6,3
114,2,6,4
115,1,6,2
115,2,6,2
116,1,6,3
116,2,6,1
117,1,6,2
117,2,4,6
117,3,6,4
118,1,6,1
118,2,6,1
119,1,4,6
119,2,6,2
119,3,6,3
120,1,6,0
120,2,6,0
122,1,4,2
122,2,1,4
122,3,0,4
123,1,4,0
123,2,4,1
124,1,4,0
125,1,2,4
126,1,4,3
126,2,4,2
127,1,4,0
127,2,4,1
128,1,4,0
128,2,4,1
129,1,4,0
130,1,3,4
