category,age_min,age_max,gender,age,c_type
Simples Messieurs 1 - Belgian Circuit 1*,0,99,male,adult,single
Simples Messieurs 1 - Belgian Circuit 2*,0,99,male,adult,single
Simples Messieurs 1 - Belgian Circuit 3*,0,99,male,adult,single
Simples Messieurs 1 - Belgian Circuit 4*,0,99,male,adult,single
Simples Messieurs 1 - Belgian Circuit 5*,0,99,male,adult,single
Simples Messieurs 2,0,99,male,adult,single
Simples Messieurs 3,0,99,male,adult,single
Simples Messieurs 4,0,99,male,adult,single
Simples Messieurs 5,0,99,male,adult,single
Simples Messieurs 6,0,99,male,adult,single
Simples Messieurs 35 1 - Belgian Circuit 1*,35,45,male,senior,single
Simples Messieurs 35 1,35,45,male,senior,single
Simples Messieurs 35 2,35,45,male,senior,single
Simples Messieurs 35 3,35,45,male,senior,single
Simples Messieurs 35 4,35,45,male,senior,single
Simples Messieurs 35 5,35,45,male,senior,single
Simples Messieurs 35 6,35,45,male,senior,single
Simples Messieurs 45 1 - Belgian Circuit 1*,45,55,male,senior,single
Simples Messieurs 45 2,45,55,male,senior,single
Simples Messieurs 45 3,45,55,male,senior,single
Simples Messieurs 45 4,45,55,male,senior,single
Simples Messieurs 45 5,45,55,male,senior,single
Simples  Messieurs 55 1 - Belgian Circuit,55,60,male,senior,single
Simples Messieurs 55 2,55,60,male,senior,single
Simples Messieurs 55 3,55,60,male,senior,single
Simples Messieurs 55 4,55,60,male,senior,single
Simples Messieurs 60 1,60,99,male,senior,single
Simples Messieurs 60 2,60,99,male,senior,single
Simples Messieurs 65 1,60,99,male,senior,single
Simples Messieurs 65 2,60,99,male,senior,single
Simples jeunes gens - 11 ans Grade 1,0,11,male,youth,single
Simples jeunes gens - 11 ans Grade 2,0,11,male,youth,single
Simples jeunes gens - 11 ans Grade 3,0,11,male,youth,single
Simples jeunes gens - 13 ans Grade 1,11,13,male,youth,single
Simples jeunes gens - 13 ans Grade 2,11,13,male,youth,single
Simples jeunes gens - 13 ans Grade 3,11,13,male,youth,single
Simples jeunes gens - 15 ans Grade 2,13,15,male,youth,single
Simples jeunes gens - 15 ans Grade 3,13,15,male,youth,single
