category_id,club_id,start_date,end_date,nbr_participants
3,176,13/08/2020,23/08/2020,67
7,176,13/08/2020,23/08/2020,46
8,176,13/08/2020,23/08/2020,31
9,176,13/08/2020,23/08/2020,23
10,176,13/08/2020,23/08/2020,28
11,176,13/08/2020,23/08/2020,40
58,176,13/08/2020,23/08/2020,37
64,176,13/08/2020,23/08/2020,33
65,176,13/08/2020,23/08/2020,14
66,176,13/08/2020,23/08/2020,6
14,176,13/08/2020,23/08/2020,7
20,176,13/08/2020,23/08/2020,2
33,176,13/08/2020,23/08/2020,7
34,176,13/08/2020,23/08/2020,3
36,176,13/08/2020,23/08/2020,13
37,176,13/08/2020,23/08/2020,4
38,176,13/08/2020,23/08/2020,14
39,176,13/08/2020,23/08/2020,9
84,176,13/08/2020,23/08/2020,2
85,176,13/08/2020,23/08/2020,2
87,176,13/08/2020,23/08/2020,4
88,176,13/08/2020,23/08/2020,0
89,176,13/08/2020,23/08/2020,5
90,176,13/08/2020,23/08/2020,5
171,176,13/08/2020,23/08/2020,11
172,176,13/08/2020,23/08/2020,8
108,176,13/08/2020,23/08/2020,6
109,176,13/08/2020,23/08/2020,4
133,176,13/08/2020,23/08/2020,1
134,176,13/08/2020,23/08/2020,5
135,176,13/08/2020,23/08/2020,9
156,176,13/08/2020,23/08/2020,4
157,176,13/08/2020,23/08/2020,5
32,71,29/06/2020,4/7/2020,21
33,71,29/06/2020,4/7/2020,20
34,71,29/06/2020,4/7/2020,5
35,71,29/06/2020,4/7/2020,23
36,71,29/06/2020,4/7/2020,25
37,71,29/06/2020,4/7/2020,5
38,71,29/06/2020,4/7/2020,25
39,71,29/06/2020,4/7/2020,2
83,71,29/06/2020,4/7/2020,10
84,71,29/06/2020,4/7/2020,10
85,71,29/06/2020,4/7/2020,2
86,71,29/06/2020,4/7/2020,7
87,71,29/06/2020,4/7/2020,9
88,71,29/06/2020,4/7/2020,1
89,71,29/06/2020,4/7/2020,9
90,71,29/06/2020,4/7/2020,2
170,71,29/06/2020,4/7/2020,10
171,71,29/06/2020,4/7/2020,12
172,71,29/06/2020,4/7/2020,7
125,71,29/06/2020,4/7/2020,6
126,71,29/06/2020,4/7/2020,7
148,71,29/06/2020,4/7/2020,1
149,71,29/06/2020,4/7/2020,1
7,59,20/08/2020,30/08/2020,14
8,59,20/08/2020,30/08/2020,12
9,59,20/08/2020,30/08/2020,17
10,59,20/08/2020,30/08/2020,23
11,59,20/08/2020,30/08/2020,30
64,59,20/08/2020,30/08/2020,3
65,59,20/08/2020,30/08/2020,8
66,59,20/08/2020,30/08/2020,9
67,59,20/08/2020,30/08/2020,8
15,59,20/08/2020,30/08/2020,1
16,59,20/08/2020,30/08/2020,12
18,59,20/08/2020,30/08/2020,16
70,59,20/08/2020,30/08/2020,4
73,59,20/08/2020,30/08/2020,6
74,59,20/08/2020,30/08/2020,11
34,59,20/08/2020,30/08/2020,2
37,59,20/08/2020,30/08/2020,3
39,59,20/08/2020,30/08/2020,3
85,59,20/08/2020,30/08/2020,2
88,59,20/08/2020,30/08/2020,5
90,59,20/08/2020,30/08/2020,3
124,59,20/08/2020,30/08/2020,24
124,59,20/08/2020,30/08/2020,17
134,59,20/08/2020,30/08/2020,9
135,59,20/08/2020,30/08/2020,6
147,59,20/08/2020,30/08/2020,10
156,59,20/08/2020,30/08/2020,5
157,59,20/08/2020,30/08/2020,10
158,59,20/08/2020,30/08/2020,4
159,59,20/08/2020,30/08/2020,6
8,304,13/08/2020,23/08/2020,24
9,304,13/08/2020,23/08/2020,30
10,304,13/08/2020,23/08/2020,32
11,304,13/08/2020,23/08/2020,59
65,304,13/08/2020,23/08/2020,10
66,304,13/08/2020,23/08/2020,19
67,304,13/08/2020,23/08/2020,29
110,304,13/08/2020,23/08/2020,16
135,304,13/08/2020,23/08/2020,11
7,71,16/07/2020,26/07/2020,31
8,71,16/07/2020,26/07/2020,28
9,71,16/07/2020,26/07/2020,32
65,71,16/07/2020,26/07/2020,13
66,71,16/07/2020,26/07/2020,11
14,71,16/07/2020,26/07/2020,10
15,71,16/07/2020,26/07/2020,7
70,71,16/07/2020,26/07/2020,3
108,71,16/07/2020,26/07/2020,12
109,71,16/07/2020,26/07/2020,13
124,71,16/07/2020,26/07/2020,13
120,71,16/07/2020,26/07/2020,5
135,71,16/07/2020,26/07/2020,4
146,71,16/07/2020,26/07/2020,4
158,71,16/07/2020,26/07/2020,14
7,165,2/7/2020,12/7/2020,25
8,165,2/7/2020,12/7/2020,27
9,165,2/7/2020,12/7/2020,26
10,165,2/7/2020,12/7/2020,24
11,165,2/7/2020,12/7/2020,24
64,165,2/7/2020,12/7/2020,10
65,165,2/7/2020,12/7/2020,9
66,165,2/7/2020,12/7/2020,9
67,165,2/7/2020,12/7/2020,20
14,165,2/7/2020,12/7/2020,10
15,165,2/7/2020,12/7/2020,16
16,165,2/7/2020,12/7/2020,22
17,165,2/7/2020,12/7/2020,10
109,165,2/7/2020,12/7/2020,9
110,165,2/7/2020,12/7/2020,8
157,165,2/7/2020,12/7/2020,3
158,165,2/7/2020,12/7/2020,11
9,18,25/06/2020,5/7/2020,37
10,18,25/06/2020,5/7/2020,48
11,18,25/06/2020,5/7/2020,48
65,18,25/06/2020,5/7/2020,17
66,18,25/06/2020,5/7/2020,11
67,18,25/06/2020,5/7/2020,8
16,18,25/06/2020,5/7/2020,17
17,18,25/06/2020,5/7/2020,18
18,18,25/06/2020,5/7/2020,20
70,18,25/06/2020,5/7/2020,15
71,18,25/06/2020,5/7/2020,11
9,194,27/12/2019,5/1/2020,35
10,194,27/12/2019,5/1/2020,43
11,194,27/12/2019,5/1/2020,32
66,194,27/12/2019,5/1/2020,11
67,194,27/12/2019,5/1/2020,3
17,194,27/12/2019,5/1/2020,9
18,194,27/12/2019,5/1/2020,9
22,194,27/12/2019,5/1/2020,6
23,194,27/12/2019,5/1/2020,9
36,194,27/12/2019,5/1/2020,21
37,194,27/12/2019,5/1/2020,8
38,194,27/12/2019,5/1/2020,20
39,194,27/12/2019,5/1/2020,6
89,194,27/12/2019,5/1/2020,13
90,194,27/12/2019,5/1/2020,7
110,194,27/12/2019,5/1/2020,10
124,194,27/12/2019,5/1/2020,8
124,194,27/12/2019,5/1/2020,8
120,194,27/12/2019,5/1/2020,5
120,194,27/12/2019,5/1/2020,0
135,194,27/12/2019,5/1/2020,1
147,194,27/12/2019,5/1/2020,5
158,194,27/12/2019,5/1/2020,12
9,284,25/10/2019,3/11/2019,18
10,284,25/10/2019,3/11/2019,24
11,284,25/10/2019,3/11/2019,16
64,284,25/10/2019,3/11/2019,1
65,284,25/10/2019,3/11/2019,8
66,284,25/10/2019,3/11/2019,7
67,284,25/10/2019,3/11/2019,2
15,284,25/10/2019,3/11/2019,10
16,284,25/10/2019,3/11/2019,6
32,284,25/10/2019,3/11/2019,11
33,284,25/10/2019,3/11/2019,12
35,284,25/10/2019,3/11/2019,7
36,284,25/10/2019,3/11/2019,10
38,284,25/10/2019,3/11/2019,3
83,284,25/10/2019,3/11/2019,2
84,284,25/10/2019,3/11/2019,3
86,284,25/10/2019,3/11/2019,2
87,284,25/10/2019,3/11/2019,2
89,284,25/10/2019,3/11/2019,5
170,284,25/10/2019,3/11/2019,1
171,284,25/10/2019,3/11/2019,2
109,284,25/10/2019,3/11/2019,2
133,284,25/10/2019,3/11/2019,0
9,65,6/8/2020,16/08/2020,17
10,65,6/8/2020,16/08/2020,20
11,65,6/8/2020,16/08/2020,29
71,65,6/8/2020,16/08/2020,11
124,65,6/8/2020,16/08/2020,22
168,65,6/8/2020,16/08/2020,12
7,59,29/11/2019,8/12/2019,7
8,59,29/11/2019,8/12/2019,5
9,59,29/11/2019,8/12/2019,14
10,59,29/11/2019,8/12/2019,8
11,59,29/11/2019,8/12/2019,11
65,59,29/11/2019,8/12/2019,10
66,59,29/11/2019,8/12/2019,8
67,59,29/11/2019,8/12/2019,4
16,59,29/11/2019,8/12/2019,12
17,59,29/11/2019,8/12/2019,11
18,59,29/11/2019,8/12/2019,6
22,59,29/11/2019,8/12/2019,6
23,59,29/11/2019,8/12/2019,4
70,59,29/11/2019,8/12/2019,10
71,59,29/11/2019,8/12/2019,4
74,59,29/11/2019,8/12/2019,3
124,59,29/11/2019,8/12/2019,7
124,59,29/11/2019,8/12/2019,5
133,59,29/11/2019,8/12/2019,6
134,59,29/11/2019,8/12/2019,4
135,59,29/11/2019,8/12/2019,3
157,59,29/11/2019,8/12/2019,8
158,59,29/11/2019,8/12/2019,4
10,71,13/08/2020,23/08/2020,30
11,71,13/08/2020,23/08/2020,39
67,71,13/08/2020,23/08/2020,11
17,71,13/08/2020,23/08/2020,5
18,71,13/08/2020,23/08/2020,15
71,71,13/08/2020,23/08/2020,10
32,71,13/08/2020,23/08/2020,9
33,71,13/08/2020,23/08/2020,16
34,71,13/08/2020,23/08/2020,8
35,71,13/08/2020,23/08/2020,12
36,71,13/08/2020,23/08/2020,25
37,71,13/08/2020,23/08/2020,16
38,71,13/08/2020,23/08/2020,14
39,71,13/08/2020,23/08/2020,11
83,71,13/08/2020,23/08/2020,9
84,71,13/08/2020,23/08/2020,8
85,71,13/08/2020,23/08/2020,3
86,71,13/08/2020,23/08/2020,2
87,71,13/08/2020,23/08/2020,9
88,71,13/08/2020,23/08/2020,10
89,71,13/08/2020,23/08/2020,15
90,71,13/08/2020,23/08/2020,10
170,71,13/08/2020,23/08/2020,6
171,71,13/08/2020,23/08/2020,11
172,71,13/08/2020,23/08/2020,16
110,71,13/08/2020,23/08/2020,16
111,71,13/08/2020,23/08/2020,13
124,71,13/08/2020,23/08/2020,20
159,71,13/08/2020,23/08/2020,11
7,130,27/08/2020,6/9/2020,23
8,130,27/08/2020,6/9/2020,32
9,130,27/08/2020,6/9/2020,28
10,130,27/08/2020,6/9/2020,35
11,130,27/08/2020,6/9/2020,80
64,130,27/08/2020,6/9/2020,1
65,130,27/08/2020,6/9/2020,8
66,130,27/08/2020,6/9/2020,10
67,130,27/08/2020,6/9/2020,10
110,130,27/08/2020,6/9/2020,9
134,130,27/08/2020,6/9/2020,4
8,329,20/08/2020,30/08/2020,14
9,329,20/08/2020,30/08/2020,27
10,329,20/08/2020,30/08/2020,34
11,329,20/08/2020,30/08/2020,44
65,329,20/08/2020,30/08/2020,9
66,329,20/08/2020,30/08/2020,9
67,329,20/08/2020,30/08/2020,8
14,329,20/08/2020,30/08/2020,0
15,329,20/08/2020,30/08/2020,5
